name,year,genres,rating
Shadow of the Tomb Raider,(2018 Video Game),"Action, Adventure, Fantasy",8.0
Hitman 3,(2021 Video Game),"Action, Crime, Mystery",8.5
Deadpool,(2013 Video Game),"Action, Adventure, Comedy",8.0
Wolfenstein: The New Order,(2014 Video Game),"Action, Adventure, Drama",8.2
Dishonored 2,(2016 Video Game),"Action, Adventure, Fantasy",8.4
Call of Duty: Infinite Warfare,(2016 Video Game),"Action, Adventure, Sci-Fi",6.3
Kingdom Hearts II,(2005 Video Game),"Action, Adventure, Family",9.3
Dead or Alive Xtreme 3,(2016 Video Game),"Action, Adventure, Romance",6.5
Call of Duty: Advanced Warfare,(2014 Video Game),"Action, Adventure, Drama",7.3
Batman: The Telltale Series,(2016 Video Game),"Action, Crime, Sci-Fi",8.0
The Fifth Element,(1998 Video Game),"Action, Adventure, Sci-Fi",7.6
Dying Light 2: Stay Human,(2022 Video Game),"Action, Adventure, Horror",7.7
Saints Row,(2022 Video Game),"Action, Comedy, Crime",5.0
Call of Duty: Black Ops III,(2015 Video Game),"Action, Horror, Sci-Fi",6.9
WWE 2K23,(2023 Video Game),"Action, Sport",8.4
Dragon Age: Origins,(2009 Video Game),"Action, Adventure, Fantasy",9.1
South Park: The Fractured But Whole,(2017 Video Game),"Action, Adventure, Comedy",8.4
The Warriors,(2005 Video Game),"Action, Crime, Thriller",8.9
Assassin's Creed: Unity,(2014 Video Game),"Action, Adventure, History",7.1
Immortals of Aveum,(2023 Video Game),"Action, Fantasy",
Spider-Man: Web of Shadows,(2008 Video Game),"Action, Adventure, Crime",7.8
Hellblade: Senua's Sacrifice,(2017 Video Game),"Action, Adventure, Drama",8.6
Halo Infinite,(2021 Video Game),"Action, Adventure, Sci-Fi",8.2
The Elder Scrolls IV: Oblivion,(2006 Video Game),"Action, Adventure, Fantasy",9.0
Lies of P,(2023 Video Game),"Action, Adventure, Fantasy",
Lego Dimensions,(2015 Video Game),"Action, Adventure, Comedy",7.7
Left 4 Dead 2,(2009 Video Game),"Action, Horror",8.3
Metal Gear Solid 2: Sons of Liberty,(2001 Video Game),"Action, Adventure, Drama",9.0
Fable III,(2010 Video Game),"Action, Adventure, Fantasy",7.4
Spider-Man 3,(2007 Video Game),"Action, Adventure, Crime",6.4
Doom Eternal,(2020 Video Game),"Action, Adventure, Fantasy",8.6
Call of Duty: Modern Warfare 3,(2011 Video Game),"Action, Thriller",8.1
Horizon Forbidden West: Burning Shores,(2023 Video Game),"Action, Adventure, Sci-Fi",8.3
The Wolf Among Us,(2013 Video Game),"Action, Crime, Drama",8.9
Manhunt,(2003 Video Game),"Action, Crime, Horror",8.2
Prey,(2017 Video Game),"Action, Adventure, Horror",8.1
PsychoBreak,(2014 Video Game),"Action, Adventure, Horror",7.8
Star Wars: Knights of the Old Republic,(2003 Video Game),"Action, Adventure, Fantasy",9.5
Alan Wake 2,(2023 Video Game),"Action, Crime, Fantasy",
Doom,(2016 Video Game),"Action, Fantasy, Horror",8.5
Scarface: The World Is Yours,(2006 Video Game),"Action, Crime, Drama",8.3
Assassin's Creed: Syndicate,(2015 Video Game),"Action, Adventure, Crime",7.8
Rainbow Six: Siege,(2015 Video Game),"Action, Adventure, Crime",7.8
Assassin's Creed: Brotherhood,(2010 Video Game),"Action, Adventure, History",8.7
Dark Souls,(2011 Video Game),"Action, Adventure, Fantasy",9.1
Dark Souls III,(2016 Video Game),"Action, Adventure, Fantasy",9.1
The Outlast Trials,(2023 Video Game),"Action, Horror, Mystery",8.0
Coraline,(2009 Video Game),"Action, Adventure, Fantasy",7.6
Outlast,(2013 Video Game),"Action, Horror, Mystery",8.3
The Elder Scrolls Online,(2014 Video Game),"Action, Adventure, Fantasy",7.5
Ghost Recon: Wildlands,(2017 Video Game),"Action, Adventure, Crime",7.6
Borderlands 2,(2012 Video Game),"Action, Adventure, Comedy",8.6
Wiedzmin,(2007 Video Game),"Action, Adventure, Drama",8.5
Fallout 76,(2018 Video Game),"Action, Adventure, Sci-Fi",4.4
Lego DC Super-Villains,(2018 Video Game),"Action, Adventure, Comedy",7.8
Call of Duty: Vanguard,(2021 Video Game),"Action, Drama, Horror",6.1
Middle-Earth: Shadow of Mordor,(2014 Video Game),"Action, Adventure, Fantasy",8.2
The Outer Worlds,(2019 Video Game),"Action, Adventure, Sci-Fi",7.9
Lego Marvel Super Heroes,(2013 Video Game),"Action, Adventure, Fantasy",8.2
The Matrix Awakens: An Unreal Engine 5 Experience,(2021 Video Game),"Action, Sci-Fi",7.9
Spider-Man,(2000 Video Game),"Action, Adventure, Fantasy",8.1
Tom Clancy's Ghost Recon Breakpoint,(2019 Video Game),"Action, Adventure, Sci-Fi",6.2
The Chronicles of Riddick: Escape from Butcher Bay,(2004 Video Game),"Action, Crime, Sci-Fi",8.6
Injustice: Gods Among Us,(2013 Video Game),"Action, Adventure, Fantasy",8.0
Baiohazâdo 6,(2012 Video Game),"Action, Adventure, Fantasy",6.7
Wiedzmin 2: Zabójcy królów,(2011 Video Game),"Action, Adventure, Drama",8.8
Hades,(2018 Video Game),"Action, Adventure, Fantasy",8.9
Mob of the Dead,(2013 Video Game),"Action, Horror, Thriller",9.1
Wing Commander III: Heart of the Tiger,(1994 Video Game),"Action, Adventure, Sci-Fi",8.8
007: Quantum of Solace,(2008 Video Game),"Action, Adventure, Thriller",6.7
Super Mario Bros. Wonder,(2023 Video Game),"Action, Adventure, Family",
Spider-Man,(2002 Video Game),"Action, Adventure, Crime",7.2
Ryû ga gotoku Zero: Chikai no basho,(2015 Video Game),"Action, Crime, Drama",8.9
Dying Light,(2015 Video Game),"Action, Adventure, Horror",8.2
The Sopranos: Road to Respect,(2006 Video Game),"Action, Adventure, Crime",6.0
Hollow Knight,(2017 Video Game),"Action, Adventure, Fantasy",8.8
Saints Row: The Third,(2011 Video Game),"Action, Comedy, Crime",8.1
Fainaru fantajî XII,(2006 Video Game),"Action, Adventure, Fantasy",8.1
Command & Conquer: Red Alert 2,(2000 Video Game),"Action, Sci-Fi, War",8.6
Marvel Snap,(2022 Video Game),"Action, Fantasy, Sci-Fi",8.1
Dead Space,(2008 Video Game),"Action, Horror, Mystery",8.8
Zeruda no densetsu: Toki no okarina,(1998 Video Game),"Action, Adventure, Fantasy",9.6
The Amazing Spider-Man 2,(2014 Video Game),"Action, Adventure, Crime",5.7
Deus Ex: Mankind Divided,(2016 Video Game),"Action, Adventure, Drama",7.9
Hi-Fi Rush,(2023 Video Game),"Action, Music, Sci-Fi",8.3
Call of Duty: World at War,(2008 Video Game),"Action, Horror, Thriller",8.2
Super Smash Bros. Ultimate,(2018 Video Game),"Action, Adventure, Fantasy",8.9
Back to the Future: The Game - 30th Anniversary Edition,(2015 Video Game),"Action, Adventure, Mystery",8.0
Red Dead Revolver,(2004 Video Game),"Action, Adventure, Drama",7.8
Max Payne 2: The Fall of Max Payne,(2003 Video Game),"Action, Crime, Drama",9.1
Mortal Kombat,(2011 Video Game),"Action, Adventure, Fantasy",8.4
The Godfather,(2006 Video Game),"Action, Crime, Drama",8.3
Spider-Man: The City That Never Sleeps,(2018 Video Game),"Action, Adventure, Crime",8.2
Sonic Frontiers,(2022 Video Game),"Action, Adventure, Family",7.4
Call of Duty,(2003 Video Game),"Action, Adventure, War",8.6
Half-Life,(1998 Video Game),"Action, Sci-Fi, Thriller",9.2
Destiny 2: The Witch Queen,(2022 Video Game),Action,8.1
Cobra Kai 2: Dojos Rising,(2022 Video Game),"Action, Adventure, Comedy",6.0
Metro Exodus,(2019 Video Game),"Action, Adventure, Horror",8.2
Assassin's Creed: Rogue,(2014 Video Game),"Action, Adventure, History",7.7
Need for Speed Unbound,(2022 Video Game),"Action, Adventure, Sport",6.8
Xenoblade Chronicles 3,(2022 Video Game),"Action, Adventure, Drama",9.0
Call of Duty: Ghosts,(2013 Video Game),"Action, Thriller",6.6
Saints Row IV,(2013 Video Game),"Action, Adventure, Comedy",7.7
James Bond 007: Everything or Nothing,(2003 Video Game),"Action, Adventure, Sci-Fi",7.9
Hitman: Absolution,(2012 Video Game),"Action, Crime, Drama",8.2
Star Wars: The Force Unleashed,(2008 Video Game),"Action, Adventure, Fantasy",8.0
Hitman,(2016 Video Game),"Action, Crime, Mystery",8.0
Lego Marvel's Avengers,(2016 Video Game),"Action, Adventure, Fantasy",7.9
Assassin's Creed: Revelations,(2011 Video Game),"Action, Adventure, History",8.2
The Amazing Spider-Man,(2012 Video Game),"Action, Adventure, Crime",7.1
Gears 5,(2019 Video Game),"Action, Adventure, Sci-Fi",7.8
Prince of Persia: Warrior Within,(2004 Video Game),"Action, Adventure, Fantasy",8.6
Diablo II,(2001 Video Game),"Action, Adventure, Fantasy",9.0
Amnesia: The Bunker,(2023 Video Game),"Action, Adventure, Fantasy",7.6
Tron 2.0,(2003 Video Game),"Action, Adventure, Sci-Fi",8.3
Aliens: Colonial Marines,(2013 Video Game),"Action, Horror, Sci-Fi",4.8
Postal 2,(2003 Video Game),"Action, Comedy, Crime",7.6
Payday 2,(2013 Video Game),"Action, Crime",7.4
The Incredible Hulk,(2008 Video Game),"Action, Adventure, Sci-Fi",6.5
Biohazard 2,(1998 Video Game),"Action, Horror, Sci-Fi",9.1
Tekken 7,(2015 Video Game),"Action, Adventure, Drama",7.5
Super Mario Bros.,(1985 Video Game),"Animation, Action, Adventure",8.9
Alan Wake Remastered,(2021 Video Game),"Action, Horror, Mystery",8.1
Final Fantasy VI,(1994 Video Game),"Action, Adventure, Drama",9.1
Persona 4 Golden,(2012 Video Game),"Action, Adventure, Comedy",9.1
Mad Max,(2015 Video Game),"Action, Adventure, Crime",7.9
inFamous: Second Son,(2014 Video Game),"Action, Adventure, Fantasy",8.0
Need for Speed: Most Wanted,(2005 Video Game),"Action, Crime, Sport",8.7
Titanfall 2,(2016 Video Game),"Action, Adventure, Sci-Fi",8.5
Halo 3,(2007 Video Game),"Action, Adventure, Sci-Fi",8.8
Demolition Man,(1994 Video Game),"Action, Crime, Sci-Fi",7.3
James Bond 007: From Russia with Love,(2005 Video Game),"Action, Adventure, Thriller",7.7
Final Fantasy XIV: Shadowbringers,(2019 Video Game),"Action, Adventure, Drama",8.8
The Chronicles of Riddick: Assault on Dark Athena,(2009 Video Game),"Action, Adventure, Sci-Fi",8.2
Fast and Furious Crossroads,(2020 Video Game),"Action, Crime, Drama",2.4
The Evil Within 2,(2017 Video Game),"Action, Adventure, Drama",8.3
Crash Team Rumble,(2023 Video Game),"Action, Adventure, Family",8.2
Fable,(2004 Video Game),"Action, Adventure, Fantasy",8.4
Final Fantasy VII Rebirth,(2024 Video Game),"Action, Adventure, Drama",
Halo: Reach,(2010 Video Game),"Action, Adventure, Sci-Fi",8.6
Super Mario Odyssey,(2017 Video Game),"Animation, Action, Adventure",9.1
Super Mario 64,(1996 Video Game),"Action, Adventure, Comedy",9.1
South Park: The Stick of Truth,(2014 Video Game),"Animation, Action, Adventure",8.9
Grand Theft Auto IV: The Ballad of Gay Tony,(2009 Video Game),"Action, Crime, Drama",8.6
Brütal Legend,(2009 Video Game),"Action, Adventure, Comedy",7.9
Psychonauts 2,(2021 Video Game),"Action, Adventure, Comedy",8.7
Battlefield 1,(2016 Video Game),"Action, Adventure, War",8.1
Gears of War,(2006 Video Game),"Action, Sci-Fi, War",8.5
Final Fantasy XIV: Endwalker,(2021 Video Game),"Action, Adventure, Drama",8.4
Kimetsu no Yaiba: Hinokami Keppuutan,(2021 Video Game),"Action, Adventure, Fantasy",8.5
Lego the Incredibles,(2018 Video Game),"Action, Adventure, Comedy",7.3
World of Warcraft: Dragonflight,(2022 Video Game),Action,7.4
Half-Life: Alyx,(2020 Video Game),"Action, Adventure, Horror",9.4
Conker's Bad Fur Day,(2001 Video Game),"Action, Adventure, Comedy",8.8
Battlefield 2042,(2021 Video Game),"Action, Adventure, Sci-Fi",3.5
Wolverine,(Video Game),"Action, Adventure, Drama",
Super Mario RPG: Legend of the Seven Stars,(1996 Video Game),"Animation, Action, Adventure",8.7
Crisis Core: Final Fantasy VII Reunion,(2022 Video Game),"Action, Adventure, Drama",8.1
Transformers: War for Cybertron,(2010 Video Game),"Action, Adventure, Sci-Fi",8.1
Spec Ops: The Line,(2012 Video Game),"Action, Drama, Mystery",8.4
Dead Island,(2011 Video Game),"Action, Adventure, Horror",7.2
Dairantô Sumasshu Burazâzu ekkusu,(2008 Video Game),"Action, Adventure, Fantasy",8.6
Outlast 2,(2017 Video Game),"Action, Adventure, Horror",7.5
BioShock 2,(2010 Video Game),"Action, Adventure, Horror",8.2
Uncharted: The Nathan Drake Collection,(2015 Video Game),"Action, Adventure, Fantasy",9.3
GhostWire: Tokyo,(2022 Video Game),"Action, Adventure, Fantasy",7.0
Far Cry New Dawn,(2019 Video Game),"Action, Adventure, Crime",6.7
Destiny,(2014 Video Game),"Action, Adventure, Fantasy",7.7
Mafia: The City of Lost Heaven,(2002 Video Game),"Action, Crime, Drama",9.2
Diablo,(1996 Video Game),"Action, Adventure, Fantasy",8.5
Fallout: A Post-Nuclear Role-Playing Game,(1997 Video Game),"Action, Adventure, Sci-Fi",9.2
Far Cry Primal,(2016 Video Game),"Action, Adventure, History",7.3
Manhunt 2,(2007 Video Game),"Action, Horror, Mystery",7.5
Lego Marvel Super Heroes 2,(2017 Video Game),"Action, Adventure, Family",7.4
Hitman 2,(2018 Video Game),"Action, Crime, Mystery",8.2
Batman: The Enemy Within,(2017 Video Game),"Action, Crime, Drama",8.4
World of Warcraft,(2005 Video Game),"Action, Adventure, Fantasy",8.0
Enter the Matrix,(2003 Video Game),"Action, Adventure, Sci-Fi",6.9
Cuphead,(2017 Video Game),"Animation, Action, Adventure",8.7
Prison Break: The Conspiracy,(2010 Video Game),"Action, Crime, Thriller",7.6
Final Fantasy XIV: Heavensward,(2015 Video Game),"Action, Adventure, Drama",8.6
Demon's Souls,(2020 Video Game),"Action, Adventure, Fantasy",8.6
Lego Batman 2: DC Super Heroes,(2012 Video Game),"Action, Sci-Fi",8.1
